dates;prix_spot;prix_OA1C;prix_OA2C;prix_OA4C;prix_OA5C;ossau_artouste_lac;ossau_artouste_usine;ossau_bious;ossau_pont_de_camps;ossau_miegebat;ossau_hourat;ossau_geteu;ossau_castet;ossau_fabreges;valentin_eaux_bonnes;valentin_assouste;valentin_espalungue;mareges_mareges;mareges_saint_pierre;mareges_coindre;louron_lassoula;louron_clarabide;louron_lapes;louron_pont_de_prat;louron_aube;louron_pont_d_estagnou;eget_eget;eget_oule
01/01/2017 00:00;71,12;40;20,55;23,83;45,97;0;0;0;0;0;0;0;0,27;0;0;0;0;NA;0;0;0;0,53;0,25;0;0;0;0;0
01/01/2017 01:00;23,58;40;37,24;50,56;47,77;0;0;0;0;0;0;0;0,26;0;0;0;0;NA;0;0;0;0,13;0,16;0;0;0;0;0
01/01/2017 02:00;33,33;40;6,17;49,82;43,87;0;0;0;0;0;0;0;0,26;0;0;0;0;NA;0;0;0;0;0,18;0;0;0;0;0
01/01/2017 03:00;52,57;40;2,45;12,32;18,79;0;0;0;0;0;0;0;0,26;0;0;0;0;NA;0;0;0;0;0,18;0;0;0;0;0
01/01/2017 04:00;7,71;40;31,23;17,74;39,85;0;0;0;0;0;0;0;0,26;0;0;0;0;NA;0;0;0;0;0,19;0;0;0;0;0
01/01/2017 05:00;40,9;40;0,97;24,73;21,26;0;0;0;0;3,11;1,5;0,15;0,25;0;0;0;0;NA;0;0;0;0;0,2;0;0;0;0;0
01/01/2017 06:00;28,5;40;37,87;44,6;37,08;0;0;0;0;6;2,98;0,18;0,25;0;0;0;0;NA;0;0;0;0;0,21;0;0;0;0;0
01/01/2017 07:00;22,54;40;19,9;20,33;10,31;0;0;0;0;6;2,98;0,18;0,24;0;0;0;0;NA;0;0;0;0;0,21;0;0;0;0;0
01/01/2017 08:00;72,66;40;16,48;26,57;3,81;0;0;0;0;6;2,98;0,16;0,24;0;0;0;0;NA;0;0;0;0;0,22;0;0;0;0;0
01/01/2017 09:00;48,63;40;2,48;22,59;31,69;0;0;0;0;6;2,97;0,16;0,24;0;0;0;0;NA;0;0;0;0;0,23;0;0;0;0;0
01/01/2017 10:00;77,16;40;43,97;45,21;57,43;0;0;0;0;1,62;5,09;0,74;0,24;0;0;0;0;NA;0;0;0;0;0,27;0;0;0;0;0
01/01/2017 11:00;25,21;40;30,64;50,79;26,87;0;0;0;0;0,04;1,63;0,29;0,24;0;0;0;0;NA;0;0;0;0;0,26;0;0;0;0;0
01/01/2017 12:00;82,84;40;47,4;20,05;28,15;0;0;0;0;31,8;16,12;3,66;0,24;6,82;0;0;0;NA;0;0;0;0;0,24;0;0;0;0;0
01/01/2017 13:00;66,35;40;47,69;27,56;27,88;0;0;0;0;31,35;16,89;3,71;0,24;7,42;0;0;0;NA;0;0;0;0;0,24;0;0;0;0;0
01/01/2017 14:00;34,15;40;0,56;21,06;26,46;0;0;0;0;10,3;5,42;0,78;0,25;1,28;0;0;0;NA;0;0;0;0,05;0,23;0;0;0;0;0,01
01/01/2017 15:00;48,6;40;8,91;47,69;38,07;0;0;0;0;1,5;4,81;0,71;0,25;0;0;0;0;NA;0;0;0;0,54;0,24;0;0;0;0;0,13
01/01/2017 16:00;67,19;40;29,8;10,81;50,58;0;0;0;0;0;0;0;0,25;0;0;0;0;NA;0;0;0;0,53;0,24;0;0;0;7,96;0,12
01/01/2017 17:00;21,46;40;12,52;25,81;9,25;0;0;0;0;0;0;0;0,25;0;0;0;0;NA;40,3;0;0;0,53;0,24;0;0;0;8,97;0,01
01/01/2017 18:00;26,21;40;12,97;21,56;38,38;0;0;0;0;0,05;0;0;0,25;0;0;0;0;NA;86,85;0;0;0,52;0,24;0;0;0;3,8;0
01/01/2017 19:00;83,61;40;17,61;27,88;49,19;0;0;0;0;13,97;8,19;1,58;0,25;0;0;0;0;NA;86,77;0;0;0,52;0,26;0;0;0;0;0
01/01/2017 20:00;58,84;40;11,7;42,07;29,48;0;0;0;0;0,75;2,6;0,43;0,24;0;0;0;0;NA;15,57;0;0;0,52;0,28;0;0;0;0;0
01/01/2017 21:00;15,9;40;23,76;24,31;49,12;0;0;0;0;3,29;2,55;0,47;0,24;0,33;0,13;0,08;0;NA;74,63;0;0;0,12;0,26;0;0;0;0;0
01/01/2017 22:00;46,86;40;16,59;33,26;15,91;0;0;0;0;0,03;0;0;0,24;0;0;0;0;NA;86,09;0;0;0;0,24;0;0;0;0;0
